RegionName,Ciudad,Estado,Precio_Actual,Clasificacion,Confianza_%,Crecimiento_2025_%,Asequibilidad,Vacancia_%,Impulso_Mercado_%
60085,Waukegan,IL,215506,Alto Potencial,100.0,10.6,2.7,1.7,2.2
6010,Bristol,CT,320877,Alto Potencial,100.0,8.3,3.1,3.2,0.1
53081,Sheboygan,WI,228348,Alto Potencial,100.0,10.5,2.9,2.4,2.4
14609,Rochester,NY,192497,Alto Potencial,100.0,10.7,2.5,4.0,0.3
53204,Milwaukee,WI,146736,Alto Potencial,100.0,17.9,2.6,2.8,3.1
60901,Kankakee,IL,151922,Alto Potencial,100.0,10.4,2.3,7.1,3.6
60451,New Lenox,IL,423860,Alto Potencial,100.0,9.1,2.6,1.2,2.2
44601,Alliance,OH,152346,Alto Potencial,100.0,8.5,2.1,4.3,1.7
61108,Rockford,IL,167919,Alto Potencial,100.0,10.4,2.2,2.6,1.2
6066,Vernon Rockville,CT,319394,Alto Potencial,100.0,8.7,3.3,2.8,0.1
53223,Milwaukee,WI,214708,Alto Potencial,100.0,10.6,2.9,4.3,1.1
61107,Rockford,IL,199161,Alto Potencial,100.0,10.1,2.2,3.4,0.1
61604,Peoria,IL,100057,Alto Potencial,100.0,8.7,1.7,5.0,0.3
54304,Green Bay,WI,270427,Alto Potencial,100.0,11.1,3.7,1.8,1.2
54494,Wisconsin Rapids,WI,211056,Alto Potencial,100.0,9.5,2.5,4.8,-0.1
53403,Racine,WI,200199,Alto Potencial,100.0,9.9,2.8,4.9,1.8
54303,Green Bay,WI,226348,Alto Potencial,100.0,11.5,3.2,2.5,0.2
8105,Camden,NJ,168255,Alto Potencial,100.0,13.3,2.7,1.7,5.8
61109,Rockford,IL,169590,Alto Potencial,100.0,10.7,2.2,3.0,-0.2
6320,New London,CT,288569,Alto Potencial,100.0,12.1,3.8,3.5,1.2
14623,Rochester,NY,243663,Alto Potencial,100.0,10.2,3.3,2.9,0.0
14618,Rochester,NY,376852,Alto Potencial,100.0,8.3,2.5,1.6,-0.2
14616,Rochester,NY,199557,Alto Potencial,100.0,8.9,2.7,2.8,0.0
61103,Rockford,IL,136891,Alto Potencial,100.0,11.1,2.2,5.3,2.2
13208,Syracuse,NY,157370,Alto Potencial,100.0,13.6,3.0,5.0,2.9
44306,Akron,OH,86601,Alto Potencial,100.0,10.3,1.7,5.9,2.1
40211,Louisville,KY,91210,Alto Potencial,100.0,12.0,2.3,11.3,2.3
6002,Bloomfield,CT,333932,Alto Potencial,100.0,8.9,2.8,2.6,0.4
13212,North Syracuse,NY,221230,Alto Potencial,100.0,10.4,2.4,2.2,2.5
61115,Machesney Park,IL,183167,Alto Potencial,100.0,9.5,2.0,2.5,2.0
6067,Rocky Hill,CT,373192,Alto Potencial,100.0,8.0,3.1,1.8,0.4
48213,Detroit,MI,51272,Alto Potencial,100.0,14.0,1.2,19.3,2.3
13204,Syracuse,NY,139263,Alto Potencial,100.0,12.5,2.6,8.2,2.6
53083,Sheboygan,WI,306008,Alto Potencial,100.0,9.8,3.2,1.8,1.7
19801,Wilmington,DE,164873,Alto Potencial,100.0,9.9,3.0,8.3,1.0
61102,Rockford,IL,105612,Alto Potencial,100.0,13.9,1.8,5.9,8.5
8840,Metuchen,NJ,651360,Alto Potencial,100.0,12.9,3.4,1.2,4.3
6062,Plainville,CT,316834,Alto Potencial,100.0,7.7,3.2,2.5,0.9
13206,Syracuse,NY,182284,Alto Potencial,100.0,11.1,2.5,3.8,2.6
13031,Camillus,NY,278583,Alto Potencial,100.0,10.0,2.5,1.9,0.1
13057,East Syracuse,NY,234724,Alto Potencial,100.0,10.9,2.4,1.7,1.8
16503,Erie,PA,62535,Alto Potencial,100.0,9.6,1.7,4.9,6.3
44706,Canton,OH,146562,Alto Potencial,100.0,9.7,2.2,5.2,4.4
13219,Syracuse,NY,235723,Alto Potencial,100.0,9.7,2.4,1.8,1.1
16502,Erie,PA,119161,Alto Potencial,100.0,9.8,2.8,5.8,0.1
